[2023-11-28 00:47:29] Epoch 246/500 | Discriminator Loss: 0.908824 | Generator Loss: 7.251189
[2023-11-28 00:48:16] Epoch 247/500 | Discriminator Loss: 0.035176 | Generator Loss: 10.877470
[2023-11-28 00:49:03] Epoch 248/500 | Discriminator Loss: 0.202083 | Generator Loss: 7.012971
[2023-11-28 00:49:49] Epoch 249/500 | Discriminator Loss: 0.000172 | Generator Loss: 11.049931
[2023-11-28 00:50:36] Epoch 250/500 | Discriminator Loss: 3.806222 | Generator Loss: 0.028092
[2023-11-28 00:51:24] Epoch 251/500 | Discriminator Loss: 0.002232 | Generator Loss: 7.156563
[2023-11-28 00:52:12] Epoch 252/500 | Discriminator Loss: 0.000671 | Generator Loss: 9.663142
[2023-11-28 00:52:59] Epoch 253/500 | Discriminator Loss: 0.000349 | Generator Loss: 14.724334
[2023-11-28 00:53:46] Epoch 254/500 | Discriminator Loss: 0.004226 | Generator Loss: 6.441034
[2023-11-28 00:54:33] Epoch 255/500 | Discriminator Loss: 0.000285 | Generator Loss: 9.006046
[2023-11-28 00:55:20] Epoch 256/500 | Discriminator Loss: 0.000086 | Generator Loss: 19.022644
[2023-11-28 00:56:07] Epoch 257/500 | Discriminator Loss: 0.005930 | Generator Loss: 7.964957
[2023-11-28 00:56:54] Epoch 258/500 | Discriminator Loss: 0.064102 | Generator Loss: 53.275269
[2023-11-28 00:57:41] Epoch 259/500 | Discriminator Loss: 0.026454 | Generator Loss: 8.784564
[2023-11-28 00:58:29] Epoch 260/500 | Discriminator Loss: 0.000363 | Generator Loss: 12.422041
[2023-11-28 00:59:16] Epoch 261/500 | Discriminator Loss: 0.000000 | Generator Loss: 54.432655
[2023-11-28 01:00:04] Epoch 262/500 | Discriminator Loss: 0.000000 | Generator Loss: 53.051804
[2023-11-28 01:00:51] Epoch 263/500 | Discriminator Loss: 0.000000 | Generator Loss: 52.578922
[2023-11-28 01:01:39] Epoch 264/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.920288
[2023-11-28 01:02:25] Epoch 265/500 | Discriminator Loss: 0.000000 | Generator Loss: 49.828575
