,Cohesiveness,Complexity,Aesthetics
Dataset,4.0,3.691666666666667,3.65625
ERA-DCGANx4,2.53125,2.78125,2.96875
ERA-DCGANx2,2.8125,2.59375,2.65625
E-DCGAN,2.15625,2.5625,2.0625
RA-DCGAN,1.9375,2.09375,1.9375
