[2023-12-11 00:35:09] Epoch 16/100 | Discriminator Loss: 0.828771 | Generator Loss: 1.026220
[2023-12-11 00:35:09] Epoch 16/100 | Discriminator Loss: 0.687147 | Generator Loss: 1.434997
[2023-12-11 03:26:14] Epoch 17/100 | Discriminator Loss: 0.162208 | Generator Loss: 3.719656
[2023-12-11 03:26:14] Epoch 17/100 | Discriminator Loss: 0.047652 | Generator Loss: 4.247617
[2023-12-11 06:16:55] Epoch 18/100 | Discriminator Loss: 1.104743 | Generator Loss: 3.118844
[2023-12-11 06:16:55] Epoch 18/100 | Discriminator Loss: 0.077829 | Generator Loss: 3.086365
[2023-12-11 09:07:59] Epoch 19/100 | Discriminator Loss: 0.109180 | Generator Loss: 5.547185
[2023-12-11 09:07:59] Epoch 19/100 | Discriminator Loss: 0.188555 | Generator Loss: 6.141459
[2023-12-11 11:59:29] Epoch 20/100 | Discriminator Loss: 0.240431 | Generator Loss: 6.336714
[2023-12-11 11:59:29] Epoch 20/100 | Discriminator Loss: 0.181095 | Generator Loss: 4.222018
[2023-12-11 14:50:51] Epoch 21/100 | Discriminator Loss: 5.620764 | Generator Loss: 4.181416
[2023-12-11 14:50:52] Epoch 21/100 | Discriminator Loss: 0.812130 | Generator Loss: 4.146146
[2023-12-11 17:42:02] Epoch 22/100 | Discriminator Loss: 0.805367 | Generator Loss: 4.283181
[2023-12-11 17:42:03] Epoch 22/100 | Discriminator Loss: 0.781086 | Generator Loss: 4.062561
[2023-12-11 20:33:34] Epoch 23/100 | Discriminator Loss: 0.023474 | Generator Loss: 7.311531
[2023-12-11 20:33:34] Epoch 23/100 | Discriminator Loss: 0.002107 | Generator Loss: 7.170220
[2023-12-11 23:25:04] Epoch 24/100 | Discriminator Loss: 1.915292 | Generator Loss: 6.752948
[2023-12-11 23:25:04] Epoch 24/100 | Discriminator Loss: 0.161633 | Generator Loss: 4.068095
