[2023-12-12 02:16:24] Epoch 25/100 | Discriminator Loss: 0.988551 | Generator Loss: 3.901021
[2023-12-12 02:16:27] Saved latest checkpoint ll_lb_latest.pth.tar
[2023-12-12 02:16:27] Saved Epoch 25/100 | Discriminator Loss: 0.011991 | Generator Loss: 2.857093
[2023-12-12 05:07:25] Epoch 26/100 | Discriminator Loss: 0.118395 | Generator Loss: 3.646644
[2023-12-12 05:07:25] Epoch 26/100 | Discriminator Loss: 1.992020 | Generator Loss: 4.947043
[2023-12-12 07:59:08] Epoch 27/100 | Discriminator Loss: 1.144808 | Generator Loss: 4.425568
[2023-12-12 07:59:08] Epoch 27/100 | Discriminator Loss: 0.395658 | Generator Loss: 7.901782
[2023-12-12 10:50:51] Epoch 28/100 | Discriminator Loss: 0.017704 | Generator Loss: 8.937390
[2023-12-12 10:50:51] Epoch 28/100 | Discriminator Loss: 0.032911 | Generator Loss: 6.723134
[2023-12-12 13:40:00] Epoch 29/100 | Discriminator Loss: 0.012754 | Generator Loss: 7.334978
[2023-12-12 13:40:00] Epoch 29/100 | Discriminator Loss: 0.015155 | Generator Loss: 6.351508
[2023-12-12 16:30:03] Epoch 30/100 | Discriminator Loss: 0.186925 | Generator Loss: 4.184077
[2023-12-12 16:30:03] Epoch 30/100 | Discriminator Loss: 0.090306 | Generator Loss: 2.535052
[2023-12-12 19:21:03] Epoch 31/100 | Discriminator Loss: 0.014256 | Generator Loss: 5.866204
[2023-12-12 19:21:03] Epoch 31/100 | Discriminator Loss: 0.010786 | Generator Loss: 7.253201
[2023-12-12 22:13:48] Epoch 32/100 | Discriminator Loss: 0.167036 | Generator Loss: 5.837495
[2023-12-12 22:13:48] Epoch 32/100 | Discriminator Loss: 0.120911 | Generator Loss: 6.287005
